time,latitude,longitude,depth,mag,magType,id,place,locationSource,Year,date,Month,Energy,country,continent,depth_type
2010-11-02T23:08:07.100Z,-19.19,168.56,3.742420221,1.7,mwb,usp000hnxu,Vanuatu,us,2010,11/2/2010,November,244.6919323,Vanuatu,Oceania,shallow
2010-11-03T00:56:55.400Z,43.76,20.73,-0.105360516,1.7,mwc,usp000hny4,Serbia,beo,2010,11/3/2010,November,244.6919323,Serbia,Europe,shallow
2010-11-03T02:51:27.000Z,40.423,26.333,2.727852828,1.7,mwc,usp000hnya,western Turkey,isk,2010,11/3/2010,November,200.33681,western Turkey,Asia,shallow
2010-11-03T03:01:52.110Z,-6.345,104.058,4.044804117,1.6,mwc,usp000hnyb,"Sunda Strait, Indonesia",us,2010,11/3/2010,November,164.0219073,Indonesia,Asia,shallow
2010-11-03T04:22:28.040Z,-13.406,-111.942,2.302585093,1.6,mwc,usp000hnyg,central East Pacific Rise,us,2010,11/3/2010,November,148.4131591,central East Pacific Rise,Ocean,shallow
2010-11-03T05:11:33.750Z,-7.601,126.532,3.583518938,1.6,mwc,usp000hnyj,"Kepulauan Barat Daya, Indonesia",us,2010,11/3/2010,November,148.4131591,Indonesia,Asia,shallow
2010-11-03T10:45:22.350Z,-13.699,-76.097,3.634951112,1.6,mwc,usp000hnyv,near the coast of central Peru,us,2010,11/3/2010,November,148.4131591,near the coast of central Peru,Americas,shallow
2010-11-03T11:04:00.430Z,-58.871,158.31,2.302585093,1.7,mwc,usp000hnyx,Macquarie Island region,us,2010,11/3/2010,November,200.33681,Macquarie Island region,Ocean,shallow
2010-11-03T11:18:15.570Z,-4.617,134.071,2.302585093,1.8,mwc,usp000hnyy,"near the south coast of Papua, Indonesia",us,2010,11/3/2010,November,403.4287935,Indonesia,Asia,shallow
2010-11-03T14:10:26.380Z,2.532,126.223,4.141546164,1.7,mwc,usp000hnz3,Molucca Sea,us,2010,11/3/2010,November,200.33681,Molucca Sea,Ocean,shallow
2010-11-03T18:00:36.390Z,12.914,-88.698,3.824284091,1.6,mwc,usp000hnz8,offshore El Salvador,us,2010,11/3/2010,November,148.4131591,offshore El Salvador,Americas,shallow
2010-11-03T18:13:11.110Z,40.036,13.247,6.149109116,1.6,mwc,usp000hnz9,Tyrrhenian Sea,us,2010,11/3/2010,November,181.2722419,Tyrrhenian Sea,Ocean,deep
2010-11-03T22:24:51.200Z,12.748,123.004,4.039536326,1.6,mwc,usp000hnzd,"Masbate region, Philippines",us,2010,11/3/2010,November,164.0219073,Philippines,Asia,shallow
2010-11-03T23:34:42.480Z,-20.466,-174.28,2.890371758,1.8,mwc,usp000hnzg,Tonga,us,2010,11/3/2010,November,445.8577701,Tonga,Oceania,shallow
2010-11-03T23:59:19.540Z,51.209,-176.542,3.711130063,1.6,mb,usp000hnzk,"Andreanof Islands, Aleutian Islands, Alaska",us,2010,11/3/2010,November,164.0219073,Alaska,Ocean,shallow
2010-11-04T01:05:47.380Z,51.236,-176.5,3.813307032,1.7,mwc,usp000hnzp,"Andreanof Islands, Aleutian Islands, Alaska",us,2010,11/4/2010,November,244.6919323,Alaska,Ocean,shallow
2010-11-04T03:48:40.140Z,-15.033,167.558,4.893352133,1.6,mb,usp000hp0f,Vanuatu,us,2010,11/4/2010,November,148.4131591,Vanuatu,Oceania,intermediate
2010-11-04T12:29:31.350Z,12.837,-44.845,2.302585093,1.7,mwc,usp000hp1g,northern Mid-Atlantic Ridge,us,2010,11/4/2010,November,221.4064162,northern Mid-Atlantic Ridge,Ocean,shallow
2010-11-04T15:57:03.650Z,-13.728,166.711,4.360547603,1.6,mb,usp000hp1x,Vanuatu,us,2010,11/4/2010,November,148.4131591,Vanuatu,Oceania,intermediate
2010-11-04T16:48:32.750Z,-60.709,-24.785,3.610917913,1.6,mwc,usp000hp20,South Sandwich Islands region,us,2010,11/4/2010,November,148.4131591,South Sandwich Islands region,Ocean,shallow
2010-11-05T01:17:23.530Z,-17.618,167.816,3.580737295,1.6,mb,usp000hp35,Vanuatu,us,2010,11/5/2010,November,164.0219073,Vanuatu,Oceania,shallow
2010-11-05T10:04:00.080Z,51.436,-176.683,3.903990834,1.6,mwc,usp000hp4e,"Andreanof Islands, Aleutian Islands, Alaska",us,2010,11/5/2010,November,181.2722419,Alaska,Ocean,shallow
2010-11-05T14:04:30.200Z,12.859,122.849,3.034952987,1.6,mwc,usp000hp4y,"Sibuyan Sea, Philippines",us,2010,11/5/2010,November,148.4131591,Philippines,Asia,shallow
2010-11-05T16:40:36.920Z,12.736,123.054,2.302585093,1.8,mwc,usp000hp57,"Masbate region, Philippines",us,2010,11/5/2010,November,330.2995599,Philippines,Asia,shallow
2010-11-06T02:12:43.640Z,36.636,87.506,2.302585093,1.6,mwc,usp000hp69,Xinjiang-Xizang border region,us,2010,11/6/2010,November,181.2722419,Xinjiang-Xizang border region,Ocean,shallow
2010-11-06T12:15:42.750Z,-18.882,-69.293,4.69043003,1.6,mwc,usp000hp72,"Tarapaca, Chile",us,2010,11/6/2010,November,148.4131591,Chile,Americas,intermediate
2010-11-06T19:29:28.450Z,-62.13,154.751,2.302585093,1.6,mwc,usp000hp7b,Balleny Islands region,us,2010,11/6/2010,November,164.0219073,Balleny Islands region,Ocean,shallow
2010-11-06T20:57:09.030Z,46.598,149.656,5.023880521,1.7,mwc,usp000hp7g,Kuril Islands,us,2010,11/6/2010,November,200.33681,Kuril Islands,Ocean,intermediate
2010-11-07T00:43:23.570Z,69.19,-146.222,2.617395833,1.6,mwc,usp000hp7k,northern Alaska,aeic,2010,11/7/2010,November,164.0219073,northern Alaska,Ocean,shallow
2010-11-07T19:26:49.430Z,24.383,141.588,4.727387819,1.7,mwb,usp000hp8q,"Volcano Islands, Japan region",us,2010,11/7/2010,November,270.4264074,Japan region,Asia,intermediate
2010-11-08T06:07:58.340Z,12.704,143.933,2.302585093,1.6,mwc,usp000hp97,Guam region,us,2010,11/8/2010,November,181.2722419,Guam region,Oceania,shallow
2010-11-08T07:37:08.920Z,-37.094,78.226,2.302585093,1.6,mwc,usp000hp9b,Mid-Indian Ridge,us,2010,11/8/2010,November,181.2722419,Mid-Indian Ridge,Asia,shallow
2010-11-08T12:28:33.160Z,-17.409,66.073,2.302585093,1.6,mwc,usp000hp9j,Mauritius - Reunion region,us,2010,11/8/2010,November,148.4131591,Mauritius - Reunion region,Ocean,shallow
2010-11-08T21:40:10.490Z,-4.176,142.202,4.747537427,1.7,mwb,usp000hp9w,"New Guinea, Papua New Guinea",us,2010,11/8/2010,November,221.4064162,Papua New Guinea,Oceania,intermediate
2010-11-09T07:03:30.360Z,-8.634,110.026,4.143134726,1.7,mwb,usp000hpad,"Java, Indonesia",us,2010,11/9/2010,November,221.4064162,Indonesia,Asia,shallow
2010-11-09T11:16:50.450Z,-1.735,99.417,3.325036021,1.7,mwc,usp000hpan,"Kepulauan Mentawai region, Indonesia",us,2010,11/9/2010,November,221.4064162,Indonesia,Asia,shallow
2010-11-09T12:38:59.620Z,-7.865,107.206,4.039536326,1.6,mwc,usp000hpas,"Java, Indonesia",us,2010,11/9/2010,November,164.0219073,Indonesia,Asia,shallow
2010-11-09T13:05:07.210Z,-14.946,-173.671,3.555348061,1.6,mwc,usp000hpau,Samoa Islands region,us,2010,11/9/2010,November,181.2722419,Samoa Islands region,Oceania,shallow
2010-11-09T18:23:54.320Z,-61.688,161.294,2.302585093,1.6,mwc,usp000hpba,Balleny Islands region,us,2010,11/9/2010,November,181.2722419,Balleny Islands region,Ocean,shallow
2010-11-10T01:23:31.000Z,-36.438,-73.362,1.945910149,1.6,mwc,usp000hpbq,"offshore Bio-Bio, Chile",guc,2010,11/10/2010,November,148.4131591,Chile,Americas,shallow
2010-11-10T03:09:26.840Z,0.457,126.11,3.970291914,1.7,mwc,usp000hpbv,Molucca Sea,us,2010,11/10/2010,November,200.33681,Molucca Sea,Ocean,shallow
2010-11-10T04:05:24.410Z,-45.464,96.394,2.302585093,1.9,mwc,usp000hpc0,southeast Indian Ridge,us,2010,11/10/2010,November,665.141633,southeast Indian Ridge,Asia,shallow
2010-11-10T10:30:15.660Z,14.923,119.868,3.044522438,1.7,mwc,usp000hpc9,"Luzon, Philippines",us,2010,11/10/2010,November,244.6919323,Philippines,Asia,shallow
2010-11-10T11:43:47.920Z,-28.782,-178.436,5.38357721,1.7,mwc,usp000hpcc,Kermadec Islands region,us,2010,11/10/2010,November,200.33681,Kermadec Islands region,Ocean,intermediate
2010-11-10T13:25:38.240Z,-55.746,-4.768,2.302585093,1.6,mwc,usp000hpch,southern Mid-Atlantic Ridge,us,2010,11/10/2010,November,181.2722419,southern Mid-Atlantic Ridge,Ocean,shallow
2010-11-10T20:41:01.590Z,36.746,70.895,5.531411249,1.6,mwc,usp000hpcu,"Hindu Kush region, Afghanistan",us,2010,11/10/2010,November,181.2722419,Afghanistan,Asia,intermediate
2010-11-10T23:48:38.970Z,5.946,-82.571,2.949688335,1.7,mwc,usp000hpcw,south of Panama,us,2010,11/10/2010,November,298.867401,south of Panama,Americas,shallow
2010-11-11T03:34:07.090Z,1.435,126.421,4.001863709,1.6,mwc,usp000hpd3,Molucca Sea,us,2010,11/11/2010,November,181.2722419,Molucca Sea,Ocean,shallow
2010-11-11T14:56:23.590Z,11.878,143.642,3.335769576,1.6,mb,usp000hpdt,south of the Mariana Islands,us,2010,11/11/2010,November,164.0219073,south of the Mariana Islands,Oceania,shallow
2010-11-11T18:47:16.240Z,-59.547,-26.217,3.555348061,1.7,mwb,usp000hpdz,South Sandwich Islands region,us,2010,11/11/2010,November,221.4064162,South Sandwich Islands region,Ocean,shallow
2010-11-11T20:08:00.870Z,37.899,27.343,2.468099531,1.6,mwc,usp000hpe2,western Turkey,isk,2010,11/11/2010,November,148.4131591,western Turkey,Asia,shallow
2010-11-11T20:29:57.730Z,-6.276,154.74,3.583518938,1.7,mwc,usp000hpe5,"Bougainville region, Papua New Guinea",us,2010,11/11/2010,November,270.4264074,Papua New Guinea,Oceania,shallow
2010-11-12T02:14:46.220Z,-6.553,130.035,5.12812199,1.7,mwb,usp000hpee,Banda Sea,us,2010,11/12/2010,November,244.6919323,Banda Sea,Ocean,intermediate
2010-11-12T06:31:13.250Z,54.65,161.361,3.96271612,1.6,mwc,usp000hpet,"near the east coast of the Kamchatka Peninsula, Russia",us,2010,11/12/2010,November,148.4131591,Russia,Europe,shallow
2010-11-12T09:46:16.510Z,52.829,-169.805,2.995732274,1.7,mwc,usp000hpf1,"Fox Islands, Aleutian Islands, Alaska",us,2010,11/12/2010,November,200.33681,Alaska,Ocean,shallow
2010-11-12T13:08:50.520Z,24.14,122.493,3.770459441,1.6,mwc,usp000hpfg,Taiwan region,us,2010,11/12/2010,November,181.2722419,Taiwan region,Asia,shallow
2010-11-12T19:01:29.970Z,-35.958,-102.21,2.302585093,1.8,mwb,usp000hpfw,southeast of Easter Island,us,2010,11/12/2010,November,330.2995599,southeast of Easter Island,Ocean,shallow
2010-11-12T21:16:41.540Z,-30.118,-177.186,1.916922612,1.7,mwc,usp000hpg1,"Kermadec Islands, New Zealand",us,2010,11/12/2010,November,200.33681,New Zealand,Oceania,shallow
2010-11-13T04:35:39.470Z,17.874,-68.541,4.549657476,1.7,mwc,usp000hpgf,Dominican Republic region,us,2010,11/13/2010,November,221.4064162,Dominican Republic region,Americas,intermediate
2010-11-13T23:03:28.310Z,-6.98,68.087,2.302585093,1.6,mwc,usp000hphj,Chagos Archipelago region,us,2010,11/13/2010,November,164.0219073,Chagos Archipelago region,Ocean,shallow
2010-11-14T06:10:29.350Z,34.036,141.373,3.288401888,1.6,mwc,usp000hphy,"off the east coast of Honshu, Japan",us,2010,11/14/2010,November,148.4131591,Japan,Asia,shallow
2010-11-14T06:32:27.980Z,11.984,43.963,2.302585093,1.7,mwb,usp000hpj1,Djibouti region,us,2010,11/14/2010,November,244.6919323,Djibouti region,Africa,shallow
2010-11-14T07:08:32.160Z,11.797,43.947,2.302585093,1.6,mwc,usp000hpj8,Djibouti region,us,2010,11/14/2010,November,164.0219073,Djibouti region,Africa,shallow
2010-11-14T07:38:33.140Z,11.931,43.991,2.302585093,1.6,mwc,usp000hpja,Djibouti region,us,2010,11/14/2010,November,181.2722419,Djibouti region,Africa,shallow
2010-11-14T08:21:21.670Z,12.023,43.974,2.302585093,1.7,mwc,usp000hpjh,near the coast of Yemen,us,2010,11/14/2010,November,200.33681,near the coast of Yemen,Asia,shallow
2010-11-14T10:37:47.420Z,11.94,43.974,2.302585093,1.6,mwc,usp000hpk3,Djibouti region,us,2010,11/14/2010,November,181.2722419,Djibouti region,Africa,shallow
2010-11-14T11:21:43.070Z,-0.158,-18.102,2.302585093,1.7,mwc,usp000hpk8,central Mid-Atlantic Ridge,us,2010,11/14/2010,November,200.33681,central Mid-Atlantic Ridge,Ocean,shallow
2010-11-14T12:49:56.110Z,11.863,43.764,2.302585093,1.6,mwc,usp000hpkq,Djibouti region,us,2010,11/14/2010,November,148.4131591,Djibouti region,Africa,shallow
2010-11-14T13:50:03.550Z,11.927,43.944,2.302585093,1.6,mwc,usp000hpkz,Djibouti region,us,2010,11/14/2010,November,181.2722419,Djibouti region,Africa,shallow
2010-11-14T14:04:30.780Z,11.971,43.932,2.302585093,1.6,mwc,usp000hpm0,Djibouti region,us,2010,11/14/2010,November,181.2722419,Djibouti region,Africa,shallow
2010-11-14T14:27:40.560Z,11.784,43.691,2.302585093,1.6,mwc,usp000hpm1,Djibouti region,us,2010,11/14/2010,November,164.0219073,Djibouti region,Africa,shallow
2010-11-14T14:33:19.230Z,11.948,43.821,2.302585093,1.7,mwc,usp000hpm2,Djibouti region,us,2010,11/14/2010,November,200.33681,Djibouti region,Africa,shallow
2010-11-14T14:55:25.760Z,12.041,43.797,2.564949357,1.7,mwc,usp000hpm7,near the coast of Yemen,us,2010,11/14/2010,November,221.4064162,near the coast of Yemen,Asia,shallow
2010-11-14T15:06:30.610Z,11.906,43.648,2.442347035,1.6,mwc,usp000hpm9,Djibouti region,us,2010,11/14/2010,November,181.2722419,Djibouti region,Africa,shallow
2010-11-14T16:33:18.310Z,11.886,43.663,2.302585093,1.6,mwc,usp000hpmj,Djibouti region,us,2010,11/14/2010,November,148.4131591,Djibouti region,Africa,shallow
2010-11-14T17:02:47.690Z,11.865,43.716,2.302585093,1.7,mwc,usp000hpmm,Djibouti region,us,2010,11/14/2010,November,244.6919323,Djibouti region,Africa,shallow
2010-11-14T17:17:07.770Z,11.874,43.74,2.302585093,1.6,mwc,usp000hpmn,Djibouti region,us,2010,11/14/2010,November,164.0219073,Djibouti region,Africa,shallow
2010-11-14T17:39:17.470Z,11.859,43.977,2.302585093,1.6,mwc,usp000hpmr,Djibouti region,us,2010,11/14/2010,November,181.2722419,Djibouti region,Africa,shallow
2010-11-14T19:01:12.750Z,-16.528,-173.297,2.302585093,1.6,mwc,usp000hpmu,Tonga,us,2010,11/14/2010,November,164.0219073,Tonga,Oceania,shallow
2010-11-14T19:15:44.790Z,11.983,43.916,2.302585093,1.6,mwc,usp000hpmv,Djibouti region,us,2010,11/14/2010,November,148.4131591,Djibouti region,Africa,shallow
2010-11-14T20:18:03.170Z,11.916,43.618,2.302585093,1.6,mwc,usp000hpn0,Djibouti region,us,2010,11/14/2010,November,164.0219073,Djibouti region,Africa,shallow
2010-11-14T22:22:30.110Z,11.916,43.579,2.302585093,1.7,mwc,usp000hpna,Djibouti region,us,2010,11/14/2010,November,200.33681,Djibouti region,Africa,shallow
2010-11-14T22:59:51.690Z,-22.722,-66.634,5.287256419,1.6,mwc,usp000hpnd,"Jujuy, Argentina",us,2010,11/14/2010,November,164.0219073,Argentina,Americas,intermediate
2010-11-14T23:25:34.840Z,12.121,44.006,2.302585093,1.6,mwc,usp000hpng,near the coast of Yemen,us,2010,11/14/2010,November,164.0219073,near the coast of Yemen,Asia,shallow
2010-11-15T00:51:56.020Z,34.549,70.458,3.529297384,1.6,mwc,usp000hpnp,"Hindu Kush region, Afghanistan",us,2010,11/15/2010,November,181.2722419,Afghanistan,Asia,shallow
2010-11-15T07:36:06.920Z,11.934,44.001,2.302585093,1.6,mb,usp000hppc,Gulf of Aden,us,2010,11/15/2010,November,148.4131591,Gulf of Aden,Ocean,shallow
2010-11-15T20:55:00.280Z,-3.112,101.266,4.075841091,1.6,mb,usp000hpqd,"southern Sumatra, Indonesia",us,2010,11/15/2010,November,148.4131591,Indonesia,Asia,shallow
2010-11-16T01:39:42.810Z,-1.99,139.017,2.564949357,1.8,mwb,usp000hpqk,"near the north coast of Papua, Indonesia",us,2010,11/16/2010,November,365.0374679,Indonesia,Asia,shallow
2010-11-16T02:06:55.290Z,11.945,43.973,2.302585093,1.6,mb,usp000hpqn,Djibouti region,us,2010,11/16/2010,November,164.0219073,Djibouti region,Africa,shallow
2010-11-16T10:10:51.010Z,51.733,159.165,4.110873864,1.7,mwc,usp000hpr0,"off the east coast of the Kamchatka Peninsula, Russia",us,2010,11/16/2010,November,221.4064162,Russia,Europe,shallow
2010-11-16T18:44:38.330Z,-3.005,68.125,2.302585093,1.7,mwc,usp000hprw,Chagos Archipelago region,us,2010,11/16/2010,November,244.6919323,Chagos Archipelago region,Ocean,shallow
2010-11-16T20:06:38.690Z,-5.897,130.7,4.782479201,1.7,mwb,usp000hpry,Banda Sea,us,2010,11/16/2010,November,221.4064162,Banda Sea,Ocean,intermediate
2010-11-16T20:18:31.110Z,-27.819,64.554,2.302585093,1.6,mwc,usp000hprz,Southwest Indian Ridge,us,2010,11/16/2010,November,148.4131591,Southwest Indian Ridge,Asia,shallow
2010-11-16T23:21:50.560Z,-56.108,-27.264,4.673762977,1.6,mb,usp000hpsb,South Sandwich Islands region,us,2010,11/16/2010,November,164.0219073,South Sandwich Islands region,Ocean,intermediate
2010-11-17T13:39:24.700Z,-12.188,165.945,3.899950424,1.7,mwc,usp000hpsv,Santa Cruz Islands,us,2010,11/17/2010,November,221.4064162,Santa Cruz Islands,Ocean,shallow
2010-11-17T15:53:31.650Z,-7.797,129.446,3.135494216,1.8,mwc,usp000hpt2,"Kepulauan Babar, Indonesia",us,2010,11/17/2010,November,365.0374679,Indonesia,Asia,shallow
2010-11-17T19:38:01.600Z,-15.692,-74.87,3.360375387,1.7,mwc,usp000hpt8,near the coast of southern Peru,us,2010,11/17/2010,November,200.33681,near the coast of southern Peru,Americas,shallow
2010-11-17T22:33:43.390Z,-7.52,-13.464,2.302585093,1.6,mwc,usp000hpte,Ascension Island region,us,2010,11/17/2010,November,181.2722419,Ascension Island region,Ocean,shallow
2010-11-18T01:31:51.660Z,-15.684,-74.735,3.206803244,1.6,mwc,usp000hptm,near the coast of southern Peru,us,2010,11/18/2010,November,164.0219073,near the coast of southern Peru,Americas,shallow
2010-11-18T01:56:53.670Z,12.009,43.986,2.302585093,1.6,mwc,usp000hptp,near the coast of Yemen,us,2010,11/18/2010,November,148.4131591,near the coast of Yemen,Asia,shallow
2010-11-18T05:05:37.300Z,-4.933,126.647,3.165475048,1.6,mwc,usp000hpty,Banda Sea,us,2010,11/18/2010,November,148.4131591,Banda Sea,Ocean,shallow
2010-11-18T17:33:07.330Z,-27.683,-178.443,5.583120298,1.6,mwc,usp000hpue,Kermadec Islands region,us,2010,11/18/2010,November,164.0219073,Kermadec Islands region,Ocean,intermediate
2010-11-19T21:55:15.610Z,1.181,100.119,5.362699625,1.7,mwb,usp000hpvg,"northern Sumatra, Indonesia",us,2010,11/19/2010,November,298.867401,Indonesia,Asia,intermediate
2010-11-20T02:09:33.860Z,-37.958,-73.688,3.417726684,1.6,mb,usp000hpvs,"offshore Bio-Bio, Chile",us,2010,11/20/2010,November,181.2722419,Chile,Americas,shallow
2010-11-20T06:12:03.710Z,-17.189,168.496,5.478970866,1.7,mwc,usp000hpw1,Vanuatu,us,2010,11/20/2010,November,200.33681,Vanuatu,Oceania,intermediate
2010-11-20T10:14:00.390Z,51.567,-176.883,3.713572067,1.7,mwc,usp000hpw7,"Andreanof Islands, Aleutian Islands, Alaska",us,2010,11/20/2010,November,200.33681,Alaska,Ocean,shallow
2010-11-20T20:40:23.390Z,-20.483,-173.982,2.302585093,1.6,mb,usp000hpwp,Tonga,us,2010,11/20/2010,November,164.0219073,Tonga,Oceania,shallow
2010-11-21T04:36:31.440Z,-54.967,-131.479,2.302585093,1.8,mwc,usp000hpx8,Pacific-Antarctic Ridge,us,2010,11/21/2010,November,403.4287935,Pacific-Antarctic Ridge,Ocean,shallow
2010-11-21T04:58:26.530Z,-54.645,-131.571,2.493205453,1.7,mwc,usp000hpx9,Pacific-Antarctic Ridge,us,2010,11/21/2010,November,200.33681,Pacific-Antarctic Ridge,Ocean,shallow
2010-11-21T08:25:54.270Z,-34.869,-108.793,2.302585093,1.6,mwc,usp000hpxg,southern East Pacific Rise,us,2010,11/21/2010,November,164.0219073,southern East Pacific Rise,Ocean,shallow
2010-11-21T08:41:48.520Z,-54.476,-131.937,2.302585093,1.6,mwc,usp000hpxj,Pacific-Antarctic Ridge,us,2010,11/21/2010,November,148.4131591,Pacific-Antarctic Ridge,Ocean,shallow
2010-11-21T11:32:04.000Z,51.199,150.858,6.173786104,1.6,mwc,usp000hpxp,Sea of Okhotsk,us,2010,11/21/2010,November,148.4131591,Sea of Okhotsk,Ocean,deep
2010-11-21T12:31:45.400Z,23.827,121.658,3.850147602,1.7,mwb,usp000hpxr,Taiwan,us,2010,11/21/2010,November,270.4264074,Taiwan,Asia,shallow
2010-11-21T14:39:07.690Z,-56.947,-141.326,2.302585093,1.7,mwc,usp000hpxt,Pacific-Antarctic Ridge,us,2010,11/21/2010,November,221.4064162,Pacific-Antarctic Ridge,Ocean,shallow
2010-11-21T22:51:41.230Z,6.443,95.739,5.575949103,1.6,mwc,usp000hpya,"Nicobar Islands, India region",us,2010,11/21/2010,November,148.4131591,India region,Asia,intermediate
2010-11-21T23:46:35.050Z,43.571,-127.23,2.302585093,1.6,mwc,usp000hpyc,off the coast of Oregon,us,2010,11/21/2010,November,148.4131591,off the coast of Oregon,Ocean,shallow
2010-11-22T05:09:51.690Z,8.132,-39.396,2.302585093,1.7,mwc,usp000hpyf,central Mid-Atlantic Ridge,us,2010,11/22/2010,November,200.33681,central Mid-Atlantic Ridge,Ocean,shallow
2010-11-22T14:12:56.950Z,-18.745,169.28,5.48022217,1.6,mwc,usp000hpyx,Vanuatu,us,2010,11/22/2010,November,164.0219073,Vanuatu,Oceania,intermediate
2010-11-22T16:18:43.440Z,-33.625,-178.918,2.302585093,1.8,mwb,usp000hpz7,south of the Kermadec Islands,us,2010,11/22/2010,November,365.0374679,south of the Kermadec Islands,Ocean,shallow
2010-11-23T00:38:20.910Z,-15.54,-172.8,3.555348061,1.6,mb,usp000hpzm,Samoa Islands region,us,2010,11/23/2010,November,148.4131591,Samoa Islands region,Oceania,shallow
2010-11-23T09:01:06.860Z,-5.959,148.966,4.219507705,1.8,mwc,usp000hq00,"New Britain region, Papua New Guinea",us,2010,11/23/2010,November,445.8577701,Papua New Guinea,Oceania,shallow
2010-11-23T15:55:13.870Z,-55.716,146.729,2.128231706,1.7,mwc,usp000hq0a,west of Macquarie Island,us,2010,11/23/2010,November,200.33681,west of Macquarie Island,Ocean,shallow
2010-11-23T20:23:07.650Z,-22.69,-174.945,2.302585093,1.6,mwc,usp000hq0h,Tonga region,us,2010,11/23/2010,November,148.4131591,Tonga region,Oceania,shallow
2010-11-24T04:09:39.930Z,11.899,143.593,3.580737295,1.6,mwc,usp000hq15,south of the Mariana Islands,us,2010,11/24/2010,November,164.0219073,south of the Mariana Islands,Oceania,shallow
2010-11-24T06:03:02.480Z,11.893,143.492,3.555348061,1.6,mb,usp000hq19,south of the Mariana Islands,us,2010,11/24/2010,November,164.0219073,south of the Mariana Islands,Oceania,shallow
2010-11-24T08:38:28.710Z,-6.167,130.624,4.857484115,1.6,mb,usp000hq1d,Banda Sea,us,2010,11/24/2010,November,148.4131591,Banda Sea,Ocean,intermediate
2010-11-24T11:09:11.650Z,36.202,140.804,3.658420247,1.6,mwc,usp000hq1m,"near the east coast of Honshu, Japan",us,2010,11/24/2010,November,148.4131591,Japan,Asia,shallow
2010-11-24T11:59:40.610Z,11.966,143.576,3.555348061,1.6,mwc,usp000hq1n,south of the Mariana Islands,us,2010,11/24/2010,November,181.2722419,south of the Mariana Islands,Oceania,shallow
2010-11-24T12:34:16.740Z,-18.98,169.353,5.514637693,1.6,mwc,usp000hq1q,Vanuatu,us,2010,11/24/2010,November,181.2722419,Vanuatu,Oceania,intermediate
2010-11-24T14:01:18.960Z,16.418,-98.628,3.131136911,1.6,mb,usp000hq1t,"Guerrero, Mexico",us,2010,11/24/2010,November,148.4131591,Mexico,Americas,shallow
2010-11-24T17:48:53.560Z,-15.612,167.758,4.918520005,1.6,mwc,usp000hq23,Vanuatu,us,2010,11/24/2010,November,148.4131591,Vanuatu,Oceania,intermediate
2010-11-24T18:35:54.550Z,-24.381,179.927,6.219794625,1.7,mwc,usp000hq24,south of the Fiji Islands,us,2010,11/24/2010,November,200.33681,south of the Fiji Islands,Oceania,deep
2010-11-24T22:08:34.710Z,-14.861,-71.715,3.624340933,1.6,mwc,usp000hq2c,central Peru,us,2010,11/24/2010,November,164.0219073,central Peru,Americas,shallow
2010-11-25T00:26:18.820Z,-20.696,-177.767,6.153583397,1.6,mwc,usp000hq2j,Fiji region,us,2010,11/25/2010,November,164.0219073,Fiji region,Oceania,deep
2010-11-25T04:19:41.390Z,0.443,-79.92,3.763522997,1.7,mwc,usp000hq2w,near the coast of Ecuador,us,2010,11/25/2010,November,221.4064162,near the coast of Ecuador,Americas,shallow
